"","Name","Downloads","Ratings","Star5","Star4","Star3","Star2","Star1","probability_of_rating","probabilityofstar5","probabilityofstar4","probabilityofstar3","probabilityofstar2","probabilityofstar1"
"1","Ola",50000000,1142513,663199,206749,95093,38474,138998,0.02285026,0.580473920209223,0.180959866539812,0.0832314380667879,0.0336748903513571,0.12165988483282
"2","Quora",10000000,369938,258711,77716,15579,4824,13108,0.0369938,0.699336104968941,0.210078445577367,0.0421124620882418,0.01304002292276,0.0354329644426904
"3","ZEE5 ",50000000,402581,246451,53435,33632,14045,55018,0.00805162,0.612177425164128,0.132731052881284,0.0835409520071737,0.0348873891216923,0.136663180825722
"4","OLX",50000000,1515426,976454,307143,105099,35460,91270,0.03030852,0.644342910838273,0.202677662914586,0.0693527760510906,0.0233993609717664,0.0602272892242841
"5","Hotstar",100000000,5708840,3644730,1095944,458991,142610,366565,0.0570884,0.638436179679234,0.191973150412343,0.0804000462440706,0.0249805564703162,0.0642100671940359
"6","Goibibo ",10000000,576599,373672,113804,35244,11694,42185,0.0576599,0.648062171457113,0.19737113661314,0.0611239353519517,0.0202809925095257,0.0731617640682693
"7","Flipkart",100000000,7804069,5084118,1861406,471894,115853,270798,0.07804069,0.651470149738553,0.238517368311326,0.0604676867926206,0.0148452044696171,0.0346995906878835
"8","Truecaller",100000000,9601680,6981013,1640116,560721,144783,275047,0.0960168,0.72706161838345,0.170815523949975,0.0583982178118829,0.0150789236883545,0.0286457161663376
"9","TikTok",100000000,9147779,6844891,814602,481004,188614,818668,0.09147779,0.748257145258975,0.0890491560847721,0.052581506396252,0.0206185567010309,0.0894936355589701
"10","Dailyhunt",50000000,1050915,635784,243401,92817,29003,49910,0.0210183,0.604981373374631,0.231608645799137,0.0883201781304863,0.0275978552023713,0.0474919474933748
"11","AppLock",100000000,5337915,3634161,842040,384425,157644,319645,0.05337915,0.680820320293598,0.157746985480286,0.072017819691771,0.0295328794107812,0.0598819951235642
"12","JioTV",100000000,1976855,1367618,293801,142316,46124,126996,0.01976855,0.691815029428056,0.148620409691151,0.0719911172038415,0.0233320096820455,0.064241433994906
"13","Cricbuzz",50000000,970007,666626,173304,53972,19387,56718,0.01940014,0.687238339517138,0.178662628207838,0.0556408355815989,0.0199864537060042,0.0584717429874217
"14","Unacademy",5000000,184129,152104,23103,4740,550,3199,0.0368258,0.826073024890159,0.125471815955118,0.0257428216087634,0.00298703626262023,0.0173736890984038
"15","Instagram",1000000000,78015364,57160110,12138087,4155364,1403129,3158674,0.078015364,0.732677604375466,0.155585853576226,0.0532634059106614,0.0179852906922283,0.0404878454454176
"16","CamScanner",100000000,1694304,1222282,330228,79966,23931,37897,0.01694304,0.721406548057491,0.194904810470848,0.0471969611120555,0.01412438381778,0.0223672965418248
"17","Ludo King",100000000,2512653,1792785,359546,165659,42776,151887,0.02512653,0.713502819529796,0.143094171777798,0.0659299155116126,0.0170242369320396,0.0604488562487538
"18","Facebook Lite",1000000000,10594551,7045748,1488157,939343,354566,766737,0.010594551,0.665035073218299,0.140464376451631,0.0886628418703162,0.0334668264846712,0.0723708819750832
"19","BookMyShow",10000000,1069280,649412,262368,77649,23534,56317,0.106928,0.607335777345503,0.2453688463265,0.0726180233428101,0.0220092024539877,0.0526681505311986
"20","Subway Surfers",1000000000,29602154,22201703,3606919,1614122,689174,1490236,0.029602154,0.750002955865982,0.121846504818534,0.0545271806909727,0.0232812112253723,0.0503421473991386
"21","WPS Office",100000000,1639284,1123012,311382,106150,35045,63695,0.01639284,0.685062502897607,0.189950002562094,0.0647538803526418,0.0213782358639504,0.0388553783237072
"22","Amazon India",100000000,3890981,2568581,738712,245171,80866,257651,0.03890981,0.660137122232157,0.189852379130096,0.0630100738091499,0.0207829336612027,0.0662174911673945
"23","BBC News",10000000,320169,196031,81056,20881,8746,13455,0.0320169,0.612273518048281,0.253166296549635,0.0652186813838941,0.0273168233026933,0.0420246807154971
"24","MX Player",500000000,7057925,5067101,1115066,409779,162488,303491,0.01411585,0.717930694928042,0.157987793862927,0.0580594154797621,0.0230220638502109,0.0430000318790579
"25","PUBG MOBILE",100000000,12200618,9866026,924686,420171,183755,805980,0.12200618,0.808649692990962,0.0757900952230453,0.0344385013939458,0.0150611223136402,0.0660605880784072
"26","Google Pay (Tez) ",100000000,1796653,1343723,264102,75265,25314,88249,0.01796653,0.747903462716507,0.146996665466286,0.0418917843345376,0.0140895320354014,0.0491185554472678
"27","UC Browser Mini",100000000,3970962,2764816,600187,291036,101948,212975,0.03970962,0.696258488497246,0.151143979720783,0.0732910564241108,0.0256733758721438,0.0536330994857166
"28","Aaj Tak Live",10000000,110600,69099,17910,9646,4198,9747,0.01106,0.624764918625678,0.161934900542495,0.0872151898734177,0.0379566003616637,0.088128390596745
"29","Where is my Train",50000000,1353248,1023884,233870,54738,11638,29118,0.02706496,0.756612239589491,0.172821241930526,0.0404493485303507,0.00860004965830358,0.0215171202913287
"30","IRCTC Rail Connect",10000000,672553,425097,136117,48044,13641,49654,0.0672553,0.632064684864985,0.202388510645258,0.0714352623510712,0.0202824164043577,0.0738291257343287
